time,ia,ib,ic,PClimit,Tlevel
0,15.0,10.0,10.0,3,0.5
1,15.0,10.0,10.0,3,0.5
2,15.0,10.0,10.0,3,0.5
3,15.0,10.0,10.0,3,0.5
4,15.0,10.0,10.0,3,0.5
5,15.0,10.0,10.0,3,0.5
6,15.0,10.0,10.0,3,0.5
7,15.0,10.0,10.0,3,0.5
8,15.0,10.0,10.0,3,0.5
9,15.0,10.0,10.0,3,0.5
10,15.0,10.5,9.5,3,0.5
11,15.0,10.6,9.4,3,0.5
12,15.0,10.7,9.3,3,0.5
13,15.0,10.8,9.2,3,0.5
14,15.0,10.9,9.1,3,0.5
15,15.0,11.0,9.0,3,0.5
16,15.0,11.1,8.9,3,0.5
17,15.0,11.2,8.8,3,0.5
18,15.0,11.3,8.7,3,0.5
19,15.0,11.4,8.6,3,0.5
20,15.0,11.5,8.5,3,0.5
21,15.0,11.6,8.4,3,0.5
22,15.0,11.7,8.3,3,0.5
23,15.0,11.8,8.2,3,0.5
24,15.0,11.9,8.1,3,0.5
25,15.0,12.0,8.0,3,0.5
26,15.0,12.1,7.9,3,0.5
27,15.0,12.2,7.8,3,0.5
28,15.0,12.3,7.7,3,0.5
29,15.0,12.4,7.6,3,0.5
30,15.0,12.5,7.5,3,0.5
