time,ia,ib,ic,PClimit,Tlevel
0,13.0,9.0,9.0,3,0.5
1,13.0,9.0,9.0,3,0.5
2,13.0,9.0,9.0,3,0.5
3,13.0,9.0,9.0,3,0.5
4,13.0,9.0,9.0,3,0.5
5,13.0,9.0,9.0,3,0.5
6,13.0,9.0,9.0,3,0.5
7,13.0,9.0,9.0,3,0.5
8,13.0,9.0,9.0,3,0.5
9,13.0,9.0,9.0,3,0.5
10,13.0,9.5,8.5,3,0.5
11,13.0,9.6,8.4,3,0.5
12,13.0,9.7,8.3,3,0.5
13,13.0,9.8,8.2,3,0.5
14,13.0,9.9,8.1,3,0.5
15,13.0,10.0,8.0,3,0.5
16,13.0,10.1,7.9,3,0.5
17,13.0,10.2,7.8,3,0.5
18,13.0,10.3,7.7,3,0.5
19,13.0,10.4,7.6,3,0.5
20,13.0,10.5,7.5,3,0.5
21,13.0,10.6,7.4,3,0.5
22,13.0,10.7,7.3,3,0.5
23,13.0,10.8,7.2,3,0.5
24,13.0,10.9,7.1,3,0.5
25,13.0,11.0,7.0,3,0.5
26,13.0,11.1,6.9,3,0.5
27,13.0,11.2,6.8,3,0.5
28,13.0,11.3,6.7,3,0.5
29,13.0,11.4,6.6,3,0.5
30,13.0,11.5,6.5,3,0.5
