time,ia,ib,ic,PClimit,Tlevel
0,16.0,12.0,12.0,3,0.4
1,16.0,12.0,12.0,3,0.4
2,16.0,12.0,12.0,3,0.4
3,16.0,12.0,12.0,3,0.4
4,16.0,12.0,12.0,3,0.4
5,16.0,12.0,12.0,3,0.4
6,16.0,12.0,12.0,3,0.4
7,16.0,12.0,12.0,3,0.4
8,16.0,12.0,12.0,3,0.4
9,16.0,12.0,12.0,3,0.4
10,16.0,12.4,11.6,3,0.4
11,16.0,12.5,11.5,3,0.4
12,16.0,12.6,11.4,3,0.4
13,16.0,12.7,11.3,3,0.4
14,16.0,12.8,11.2,3,0.4
15,16.0,12.9,11.1,3,0.4
16,16.0,13.0,11.0,3,0.4
17,16.0,13.1,10.9,3,0.4
18,16.0,13.2,10.8,3,0.4
19,16.0,13.3,10.7,3,0.4
20,16.0,13.4,10.6,3,0.4
21,16.0,13.5,10.5,3,0.4
22,16.0,13.6,10.4,3,0.4
23,16.0,13.7,10.3,3,0.4
24,16.0,13.8,10.2,3,0.4
25,16.0,13.9,10.1,3,0.4
26,16.0,14.0,10.0,3,0.4
27,16.0,14.1,9.9,3,0.4
28,16.0,14.2,9.8,3,0.4
29,16.0,14.3,9.7,3,0.4
30,16.0,14.4,9.6,3,0.4
