time,ia,ib,ic,PClimit,Tlevel
0,12.0,12.0,12.0,5,1.0
1,12.0,12.0,12.0,5,1.0
2,12.0,12.0,12.0,5,1.0
3,12.0,12.0,12.0,5,1.0
4,12.0,12.0,12.0,5,1.0
5,12.0,12.0,12.0,5,1.0
6,12.0,12.0,12.0,5,1.0
7,12.0,12.0,12.0,5,1.0
8,12.0,12.0,12.0,5,1.0
9,12.0,12.0,12.0,5,1.0
10,12.0,12.0,12.0,5,1.0
11,12.0,12.0,12.0,5,1.0
12,12.0,12.0,12.0,5,1.0
13,12.0,12.0,12.0,5,1.0
14,12.0,12.0,12.0,5,1.0
15,12.0,12.0,12.0,5,1.0
16,12.0,12.0,12.0,5,1.0
17,12.0,12.0,12.0,5,1.0
18,12.0,12.0,12.0,5,1.0
19,12.0,12.0,12.0,5,1.0
20,12.0,12.0,12.0,5,1.0
21,12.0,12.0,12.0,5,1.0
22,12.0,12.0,12.0,5,1.0
23,12.0,12.0,12.0,5,1.0
24,12.0,12.0,12.0,5,1.0
25,12.0,12.0,12.0,5,1.0
26,12.0,12.0,12.0,5,1.0
27,12.0,12.0,12.0,5,1.0
28,12.0,12.0,12.0,5,1.0
29,12.0,12.0,12.0,5,1.0
30,12.0,12.0,12.0,5,1.0
