time,ia,ib,ic,PClimit,Tlevel
0,2.0,2.0,2.0,5,0.05
1,2.0,2.0,2.0,5,0.05
2,2.0,2.0,2.0,5,0.05
3,2.0,2.0,2.0,5,0.05
4,2.0,2.0,2.0,5,0.05
5,2.0,2.0,2.0,5,0.05
6,2.0,2.0,2.0,5,0.05
7,2.0,2.0,2.0,5,0.05
8,2.0,2.0,2.0,5,0.05
9,2.0,2.0,2.0,5,0.05
10,2.0,2.0,2.0,5,0.05
11,2.0,2.0,2.0,5,0.05
12,2.0,2.0,2.0,5,0.05
13,2.0,2.0,2.0,5,0.05
14,2.0,2.0,2.0,5,0.05
15,2.0,2.0,2.0,5,0.05
16,2.0,2.0,2.0,5,0.05
17,2.0,2.0,2.0,5,0.05
18,2.0,2.0,2.0,5,0.05
19,2.0,2.0,2.0,5,0.05
20,2.0,2.0,2.0,5,0.05
21,2.0,2.0,2.0,5,0.05
22,2.0,2.0,2.0,5,0.05
23,2.0,2.0,2.0,5,0.05
24,2.0,2.0,2.0,5,0.05
25,2.0,2.0,2.0,5,0.05
26,2.0,2.0,2.0,5,0.05
27,2.0,2.0,2.0,5,0.05
28,2.0,2.0,2.0,5,0.05
29,2.0,2.0,2.0,5,0.05
30,2.0,2.0,2.0,5,0.05
