time,ia,ib,ic,Tlevel,PClimit,action
0,11.14757767262768,11.703210698707204,11.258389390927881,0.6055621286372981,3,A1
1,5.590150775615086,5.700545212668815,6.331955010641954,0.8104413237732131,5,A1
2,13.517746669042259,12.789979299132435,13.299736836431075,0.952160159455464,4,A1
3,1.254415982938578,0.6114999282787825,1.5501876260576108,1.0,2,A1
4,6.025977812122658,5.954945560845073,6.229557604025544,1.0,2,A1
5,5.124797454187636,5.393938914450372,4.929867269723884,0.9606189301437665,1,A1
6,7.25030897851706,7.415108001797379,7.215818400605157,0.636950861552783,5,A1
7,5.303212465377828,5.5386102280229625,5.260617170412738,0.8610592047216354,1,A1
8,10.382217365313242,10.156383615238504,9.987368857932093,0.8561435014818809,3,A1
9,15.555376526737492,15.064899728800505,14.837184432513125,1.0,1,A1
10,9.771339265200789,9.984055658553014,9.606271489418397,1.0,2,A1
11,8.245798567538039,8.11129533210256,7.94494021420971,0.5200281351783621,1,A1
12,9.0160287689637,8.888192910406872,8.883408963692244,1.0,5,A1
13,4.444021251485767,4.576482812923195,5.216400148628964,0.9336841042095233,5,A1
14,2.4904580609006777,3.1237670529023136,3.1978316402550626,0.9850271838220118,2,A1
15,5.076657209282942,5.391412918080755,5.6248148943354455,1.0,5,A1
16,10.605031958438458,11.050749662180406,11.014586056800745,1.0,3,A1
17,13.08508273578556,13.710032837303451,12.986715583589179,1.0,2,A1
18,16.65910696632756,17.054740782032866,16.88423193723869,0.7425604795014633,4,A1
19,2.638357211435096,16.05157142083564,15.796338273258254,1.0,1,A12
20,18.88975469808692,3.5324962235278856,3.864863448806757,1.0,4,A12
21,18.0559348477043,10.784316928235842,10.893211613225954,1.0,3,A12
22,8.915613232174787,9.191143440265712,9.442979312263997,1.0,1,A2
23,15.340467566831276,15.212196631260632,10.216694500136205,1.0,3,A8
24,18.09473347531213,18.25798376682661,0.9261691709019204,1.0,5,A7
25,9.494267334708159,15.955076146989208,17.797940469685262,0.296265332216607,1,A15
26,18.69158965687415,18.698378536579114,2.1562534083172435,0.8768758605759315,2,A8
27,8.134073857405573,7.978392508633554,3.859039386671741,1.0,5,A8
28,6.524393091901595,6.513462168219855,5.873929385114128,1.0,4,A2
29,13.07281986125995,6.277061009324154,13.13335827646293,0.8944444065654277,3,A14
30,10.995703543399264,14.909606674190837,14.496573499106152,1.0,2,A11
