time,xin,TL,BL,reset,ic,T,action
0.0,-0.4851148093824027,-4.411572110282782,-9.505242706016283,1,-9.06941854076054,0.1,A3
3.5,0.6479509046611247,-4.411572110282782,-9.505242706016283,1,-9.06941854076054,0.1,A3
7.0,0.07408063477926885,-4.411572110282782,-9.505242706016283,1,-9.06941854076054,0.1,A3
7.01,0.7306693145062135,5.369138286817714,1.1936185147619867,0,-4.898671190113846,0.1,A20
12.0,-0.9570212535402622,5.369138286817714,1.1936185147619867,0,-4.898671190113846,0.1,A20
17.0,0.53654690244841,5.369138286817714,1.1936185147619867,0,-4.898671190113846,0.1,A20
17.01,1.0,5.846006998107644,1.4505890969670716,1,0.02442626042530982,0.1,A6
17.5,0.5763177082220037,5.846006998107644,1.4505890969670716,1,0.02442626042530982,0.1,A6
18.0,-0.341673154444178,5.846006998107644,1.4505890969670716,1,0.02442626042530982,0.1,A6
18.01,-1.0,1.3286324385501764,0.301311902378556,0,3.226527098227905,0.1,A17
18.5,-0.10784642139131995,1.3286324385501764,0.301311902378556,0,3.226527098227905,0.1,A17
19.0,-0.012181776296847913,1.3286324385501764,0.301311902378556,0,3.226527098227905,0.1,A17
19.01,0.5032777703083201,10.0,7.474677489163721,1,-7.1136689270342,0.1,A6
19.5,0.45629140371685084,10.0,7.474677489163721,1,-7.1136689270342,0.1,A6
20.0,-0.8151201585869712,10.0,7.474677489163721,1,-7.1136689270342,0.1,A6
