time,xin,TL,BL,reset,ic,T,action
0.0,0.1748856287670968,6.220701472629564,-2.809961256082807,1,0.5574178737032103,0.1,A4
1.5,-0.6783742066304967,6.220701472629564,-2.809961256082807,1,0.5574178737032103,0.1,A4
3.0,0.05762065029830454,6.220701472629564,-2.809961256082807,1,0.5574178737032103,0.1,A4
3.01,0.25000677308932984,4.219058574426802,-5.970052852428356,0,-5.793778776459233,0.1,A19
6.0,0.8867580852994879,4.219058574426802,-5.970052852428356,0,-5.793778776459233,0.1,A19
9.0,-0.3487355574869053,4.219058574426802,-5.970052852428356,0,-5.793778776459233,0.1,A19
9.01,-0.9037103547719978,-3.7989615604061804,1.343803297532327,0,5.70680819831794,0.1,A19
10.5,0.15375677486060213,-3.7989615604061804,1.343803297532327,0,5.70680819831794,0.1,A19
12.0,-0.7897380862012939,-3.7989615604061804,1.343803297532327,0,5.70680819831794,0.1,A19
12.01,-0.5008676239924543,6.9291276434676305,0.5203325914808072,1,1.1455910960537778,0.1,A1
13.0,-0.31224601174895095,6.9291276434676305,0.5203325914808072,1,1.1455910960537778,0.1,A1
14.0,0.37820200365943224,6.9291276434676305,0.5203325914808072,1,1.1455910960537778,0.1,A1
14.01,-0.018653387548638767,0.2184372146760829,7.369333683278342,0,-3.5461949582355974,0.1,A20
14.5,-0.97081050691409,0.2184372146760829,7.369333683278342,0,-3.5461949582355974,0.1,A20
15.0,0.7401617197551043,0.2184372146760829,7.369333683278342,0,-3.5461949582355974,0.1,A20
15.01,-0.6595347187150036,-6.3859915338488555,-9.553387052198614,1,4.099648913881122,0.1,A9
15.5,-0.17920030525421038,-6.3859915338488555,-9.553387052198614,1,4.099648913881122,0.1,A9
16.0,0.700953788431435,-6.3859915338488555,-9.553387052198614,1,4.099648913881122,0.1,A9
16.01,-0.319407876409215,2.8440177439435033,-8.467291672647915,0,6.183225665027699,0.1,A20
16.5,-0.5987184280301043,2.8440177439435033,-8.467291672647915,0,6.183225665027699,0.1,A20
17.0,0.59107391583952,2.8440177439435033,-8.467291672647915,0,6.183225665027699,0.1,A20
17.01,0.5624099054864555,2.9374552681710133,5.348859004120371,0,2.759446359840389,0.1,A18
17.5,0.5424812906121965,2.9374552681710133,5.348859004120371,0,2.759446359840389,0.1,A18
18.0,-0.4023155939805718,2.9374552681710133,5.348859004120371,0,2.759446359840389,0.1,A18
18.01,0.9025297369196728,-1.973202379463988,-3.074637636283173,1,-1.9674787472263517,0.1,A10
18.5,0.6088032603520155,-1.973202379463988,-3.074637636283173,1,-1.9674787472263517,0.1,A10
19.0,-0.4279416160735612,-1.973202379463988,-3.074637636283173,1,-1.9674787472263517,0.1,A10
19.01,-0.500601689208787,-2.861541390684705,2.3635392464574103,0,-1.2356430753072605,0.1,A17
19.5,-0.12350491640219574,-2.861541390684705,2.3635392464574103,0,-1.2356430753072605,0.1,A17
20.0,0.7309235659179633,-2.861541390684705,2.3635392464574103,0,-1.2356430753072605,0.1,A17
