time,xin,TL,BL,reset,ic,T,action
0.0,-0.6605312758516979,-3.1296497770979776,3.6053018909773566,1,9.6374523934569,0.1,A13
4.5,-0.2085144679200832,-3.1296497770979776,3.6053018909773566,1,9.6374523934569,0.1,A13
9.0,0.11971567835010122,-3.1296497770979776,3.6053018909773566,1,9.6374523934569,0.1,A13
9.01,0.5324785411605086,4.692950004398915,3.2873764884539938,0,4.149081598165182,0.1,A20
11.0,-0.5642661915475113,4.692950004398915,3.2873764884539938,0,4.149081598165182,0.1,A20
13.0,0.9487926227931363,4.692950004398915,3.2873764884539938,0,4.149081598165182,0.1,A20
13.01,0.0538616664660978,-2.2055912314798087,8.374229985604401,1,-5.721797644102216,0.1,A15
15.0,0.8117466542979712,-2.2055912314798087,8.374229985604401,1,-5.721797644102216,0.1,A15
17.0,-0.4164195005702913,-2.2055912314798087,8.374229985604401,1,-5.721797644102216,0.1,A15
17.01,0.7222609246468645,7.9425339696726995,3.2059247599557708,0,-3.4873083652501613,0.1,A18
17.5,-0.15748937185819956,7.9425339696726995,3.2059247599557708,0,-3.4873083652501613,0.1,A18
18.0,-0.7481277911519797,7.9425339696726995,3.2059247599557708,0,-3.4873083652501613,0.1,A18
18.01,-0.22614219283882964,6.506309073215096,-1.4361219907426008,1,-2.519388342889468,0.1,A7
18.5,0.45114740431990774,6.506309073215096,-1.4361219907426008,1,-2.519388342889468,0.1,A7
19.0,-0.06636746602101229,6.506309073215096,-1.4361219907426008,1,-2.519388342889468,0.1,A7
19.01,0.6231943592134692,1.7501031959027387,3.3833743455505285,0,-4.38865357280164,0.1,A20
19.5,-0.7370517529407679,1.7501031959027387,3.3833743455505285,0,-4.38865357280164,0.1,A20
20.0,-0.7132733521608778,1.7501031959027387,3.3833743455505285,0,-4.38865357280164,0.1,A20
