time,ia,ib,ic,PClimit,Tlevel
0,14.0,14.0,14.0,1,0.5
1,14.0,14.0,14.0,1,0.5
2,14.0,14.0,14.0,1,0.5
3,14.0,14.0,14.0,1,0.5
4,14.0,14.0,14.0,1,0.5
5,14.0,14.0,14.0,1,0.5
6,14.0,14.0,14.0,1,0.5
7,14.0,14.0,14.0,1,0.5
8,14.0,14.0,14.0,1,0.5
9,14.0,14.0,14.0,1,0.5
10,14.0,14.0,14.0,1,0.5
11,14.0,14.0,14.0,1,0.5
12,14.0,14.0,14.0,1,0.5
13,14.0,14.0,14.0,1,0.5
14,14.0,14.0,14.0,1,0.5
15,14.0,14.0,14.0,1,0.5
16,14.0,14.0,14.0,1,0.5
17,14.0,14.0,14.0,1,0.5
18,14.0,14.0,14.0,1,0.5
19,14.0,14.0,14.0,1,0.5
20,20.0,14.0,14.0,1,0.5
21,20.0,14.0,14.0,1,0.5
22,20.0,14.0,20.0,1,0.5
23,20.0,14.0,20.0,1,0.5
24,20.0,14.0,20.0,1,0.5
25,20.0,14.0,20.0,1,0.5
26,20.0,14.0,20.0,1,0.5
27,20.0,14.0,20.0,1,0.5
28,20.0,14.0,20.0,1,0.5
29,20.0,14.0,20.0,1,0.5
30,20.0,14.0,20.0,1,0.5
