time,ia,ib,ic,PClimit,Tlevel
0,7.0,7.0,7.0,4,0.4
1,7.0,7.0,7.0,4,0.4
2,7.0,7.0,7.0,4,0.4
3,7.0,7.0,7.0,4,0.4
4,7.0,7.0,7.0,4,0.4
5,7.0,7.0,7.0,4,0.4
6,7.0,7.0,7.0,4,0.4
7,7.0,7.0,7.0,4,0.4
8,7.0,7.0,7.0,4,0.4
9,7.0,7.0,7.0,4,0.4
10,7.0,7.0,7.0,4,0.4
11,7.0,7.0,7.0,4,0.4
12,7.0,7.0,7.0,4,0.4
13,7.0,7.0,7.0,4,0.4
14,7.0,7.0,7.0,4,0.4
15,12.0,7.0,7.0,4,0.4
16,12.0,7.0,7.0,4,0.4
17,12.0,7.0,7.0,4,0.4
18,12.0,7.0,7.0,4,0.4
19,12.0,7.0,7.0,4,0.4
20,12.0,7.0,11.0,4,0.4
21,12.0,7.0,11.0,4,0.4
22,12.0,7.0,11.0,4,0.4
23,12.0,7.0,11.0,4,0.4
24,12.0,7.0,11.0,4,0.4
25,12.0,7.0,11.0,4,0.4
26,12.0,7.0,11.0,4,0.4
27,12.0,7.0,11.0,4,0.4
28,12.0,7.0,11.0,4,0.4
29,12.0,7.0,11.0,4,0.4
30,12.0,7.0,11.0,4,0.4
