time,ia,ib,ic,PClimit,Tlevel
0,10.0,10.0,10.0,3,0.5
1,10.0,10.0,10.0,3,0.5
2,10.0,10.0,10.0,3,0.5
3,10.0,10.0,10.0,3,0.5
4,9.0,10.0,11.0,3,0.5
5,9.0,10.0,11.0,3,0.5
6,9.0,10.0,11.0,3,0.5
7,9.0,10.0,11.0,3,0.5
8,9.0,10.0,11.0,3,0.5
9,9.0,10.0,11.0,3,0.5
10,9.0,10.0,11.0,3,0.5
11,9.0,10.0,11.0,3,0.5
12,9.0,10.0,11.0,3,0.5
13,9.0,10.0,11.0,3,0.5
14,9.0,10.0,11.0,3,0.5
15,9.0,10.0,11.0,3,0.5
16,9.0,10.0,11.0,3,0.5
17,9.0,10.0,11.0,3,0.5
18,9.0,10.0,11.0,3,0.5
19,9.0,10.0,11.0,3,0.5
20,9.0,10.0,11.0,3,0.5
21,9.0,10.0,11.0,3,0.5
22,9.0,10.0,11.0,3,0.5
23,9.0,10.0,11.0,3,0.5
24,9.0,10.0,11.0,3,0.5
25,9.0,10.0,11.0,3,0.5
26,9.0,10.0,11.0,3,0.5
27,9.0,10.0,11.0,3,0.5
28,9.0,10.0,11.0,3,0.5
29,9.0,10.0,11.0,3,0.5
