time,x,y,action
0.0,-2.0,-2.0,A8
1.0,-1.707307378352821,-1.2160089290673892,A8
2.0,-2.0,-2.0,A8
2.01,-1.300000744455235,-1.7021262711541039,A10
5.5,-1.7782242224249214,-1.7493834795604621,A10
9.0,-1.5607398585283678,-1.1712994883794305,A10
9.01,0.6289402218797355,1.1502225547976659,A6
10.5,-0.11161252437542801,0.009968668320779805,A6
12.0,-0.3573879626639944,-1.1953895940851553,A6
12.01,1.0226789730405172,1.8389239328715652,A1
36.0,1.1264697141764732,2.0,A1
60.0,1.2727202112633482,2.0,A1
60.01,2.0,1.7876327320539573,A11
71.5,1.9116249149868307,1.7299657872202987,A11
83.0,1.3981381866584472,1.5961617363393552,A11
83.01,0.2498710437475813,1.0468227004381303,A16
91.5,-0.2979354829549137,1.1199761412825482,A16
100.0,-1.3101825332710915,2.0,A16
