time,xin,TL,BL,reset,ic,T,action
0.0,-0.3174549630252581,5.600947690550846,-5.537655976116255,1,-5.317812324776929,0.1,A4
6.0,-0.48721741132638785,5.600947690550846,-5.537655976116255,1,-5.317812324776929,0.1,A4
12.0,0.1292576298203778,5.600947690550846,-5.537655976116255,1,-5.317812324776929,0.1,A4
12.01,-0.8712165474329845,1.1968139248530623,2.7682431728151577,1,5.040466590548267,0.1,A13
12.5,0.4158969778881032,1.1968139248530623,2.7682431728151577,1,5.040466590548267,0.1,A13
13.0,0.5838439589471529,1.1968139248530623,2.7682431728151577,1,5.040466590548267,0.1,A13
13.01,0.7095053681241827,-1.1087502942349854,8.169220283054834,0,0.16008291786594242,0.1,A18
15.0,0.14357236087494618,-1.1087502942349854,8.169220283054834,0,0.16008291786594242,0.1,A18
17.0,-0.6334798800239325,-1.1087502942349854,8.169220283054834,0,0.16008291786594242,0.1,A18
17.01,-0.45492355718564426,-5.797237903274841,-4.554971540224388,1,-8.056873708904195,0.1,A13
18.0,-0.2978537238788477,-5.797237903274841,-4.554971540224388,1,-8.056873708904195,0.1,A13
19.0,0.3443016094304707,-5.797237903274841,-4.554971540224388,1,-8.056873708904195,0.1,A13
19.01,-0.6397160539863336,-0.3713085767197768,6.49963834949828,0,-7.884320971541914,0.1,A20
19.5,-0.6789974027586354,-0.3713085767197768,6.49963834949828,0,-7.884320971541914,0.1,A20
20.0,0.5618473022057802,-0.3713085767197768,6.49963834949828,0,-7.884320971541914,0.1,A20
