time,x,y,action
0.0,1.4460001611773103,1.2039651281479609,A7
21.5,1.6824073256380818,2.0,A7
43.0,1.2531103618879447,1.6302725513070726,A7
43.01,-0.8387917932315738,-0.4699728093007587,A3
66.5,0.32934295835177796,0.17754983464239338,A3
90.0,1.7754685268151982,1.2516170083458809,A3
90.01,2.0,1.8962348860295521,A4
91.5,1.5975085121739534,1.5736974459490165,A4
93.0,1.0545704692467992,1.3137062923741722,A4
93.01,1.5319662742768472,1.2695831842168717,A13
93.5,1.762141415949885,1.5213007705255457,A13
94.0,1.9086812646091098,2.0,A13
94.01,2.0,2.0,A11
94.5,1.2972055962951836,1.7588229251083658,A11
95.0,1.2544423349926848,1.366788616575319,A11
95.01,1.7489346191574948,1.0124746807944367,A13
95.5,2.0,1.9170441223922645,A13
96.0,2.0,1.2746152352401103,A13
96.01,-1.432880883812106,-1.4693655842207438,A12
96.5,-1.7310911881863,-1.8634931494973916,A12
97.0,-2.0,-1.583328788490857,A12
97.01,-1.885708839261794,-2.0,A14
97.5,-1.0348063716095266,-1.3201474793708645,A14
98.0,-1.1314172411287522,-1.1012182384760756,A14
98.01,-1.3389386124612177,-1.7462504750662449,A8
98.5,-1.0886475097001507,-1.0752178185956807,A8
99.0,-1.976219671076215,-2.0,A8
99.01,-1.3369124919557203,-1.4345343884452015,A10
99.5,-2.0,-2.0,A10
100.0,-1.0772709374228437,-1.4065056415429877,A10
