time,ia,ib,ic,PClimit,Tlevel
0,8.0,8.0,8.0,1,0.9
1,8.0,8.0,8.0,1,0.9
2,8.0,8.0,8.0,1,0.9
3,8.0,8.0,10.0,1,0.9
4,8.0,8.0,12.0,1,0.9
5,8.0,8.0,14.0,1,0.9
6,8.0,8.0,16.0,1,0.9
7,8.0,8.0,16.0,1,0.9
8,8.0,8.0,16.0,1,0.9
9,8.0,8.0,16.0,1,0.9
10,8.0,8.0,16.0,1,0.9
11,8.0,8.0,16.0,1,0.9
12,8.0,8.0,16.0,1,0.9
13,8.0,8.0,16.0,1,0.9
14,8.0,8.0,16.0,1,0.9
15,8.0,8.0,16.0,1,0.9
16,8.0,8.0,16.0,1,0.9
17,8.0,8.0,16.0,1,0.9
18,8.0,8.0,16.0,1,0.9
19,8.0,8.0,16.0,1,0.9
20,8.0,8.0,16.0,1,0.9
21,8.0,8.0,16.0,1,0.9
22,8.0,8.0,16.0,1,0.9
23,8.0,8.0,16.0,1,0.9
24,8.0,8.0,16.0,1,0.9
25,8.0,8.0,16.0,1,0.9
26,8.0,8.0,16.0,1,0.9
27,8.0,8.0,16.0,1,0.9
28,8.0,8.0,16.0,1,0.9
29,8.0,8.0,16.0,1,0.9
30,8.0,8.0,16.0,1,0.9
