time,ia,ib,ic,PClimit,Tlevel
0,12.0,12.0,12.0,5,0.2
1,12.0,12.0,12.0,5,0.2
2,12.0,12.0,12.0,5,0.2
3,12.0,12.0,14.0,5,0.2
4,12.0,12.0,16.0,5,0.2
5,12.0,12.0,18.0,5,0.2
6,12.0,12.0,20.0,5,0.2
7,12.0,12.0,20.0,5,0.2
8,12.0,12.0,20.0,5,0.2
9,12.0,12.0,20.0,5,0.2
10,12.0,12.0,20.0,5,0.2
11,12.0,12.0,20.0,5,0.2
12,12.0,12.0,20.0,5,0.2
13,12.0,12.0,20.0,5,0.2
14,12.0,12.0,20.0,5,0.2
15,12.0,12.0,20.0,5,0.2
16,12.0,12.0,20.0,5,0.2
17,12.0,12.0,20.0,5,0.2
18,12.0,12.0,20.0,5,0.2
19,12.0,12.0,20.0,5,0.2
20,12.0,12.0,20.0,5,0.2
21,12.0,12.0,20.0,5,0.2
22,12.0,12.0,20.0,5,0.2
23,12.0,12.0,20.0,5,0.2
24,12.0,12.0,20.0,5,0.2
25,12.0,12.0,20.0,5,0.2
26,12.0,12.0,20.0,5,0.2
27,12.0,12.0,20.0,5,0.2
28,12.0,12.0,20.0,5,0.2
29,12.0,12.0,20.0,5,0.2
30,12.0,12.0,20.0,5,0.2
