time,ia,ib,ic,PClimit,Tlevel
0,12.0,12.0,12.0,3,0.7
1,12.0,12.0,12.0,3,0.7
2,12.0,12.0,12.0,3,0.7
3,12.0,12.0,12.0,3,0.7
4,12.0,12.0,12.0,3,0.7
5,12.0,12.0,12.0,3,0.7
6,12.0,12.0,12.0,3,0.7
7,12.0,12.0,12.0,3,0.7
8,12.0,12.0,12.0,3,0.7
9,12.0,12.0,12.0,3,0.7
10,12.0,12.0,15.0,3,0.7
11,12.0,12.0,15.0,3,0.7
12,12.0,12.0,15.0,3,0.7
13,12.0,12.0,15.0,3,0.7
14,12.0,12.0,15.0,3,0.7
15,12.0,12.0,15.0,3,0.7
16,12.0,12.0,12.0,3,0.7
17,12.0,12.0,12.0,3,0.7
18,12.0,12.0,12.0,3,0.7
19,12.0,12.0,12.0,3,0.7
20,12.0,12.0,12.0,3,0.7
21,12.0,12.0,12.0,3,0.7
22,12.0,12.0,12.0,3,0.7
23,12.0,12.0,12.0,3,0.7
24,12.0,12.0,12.0,3,0.7
25,12.0,12.0,12.0,3,0.7
26,12.0,12.0,12.0,3,0.7
27,12.0,12.0,12.0,3,0.7
28,12.0,12.0,12.0,3,0.7
29,12.0,12.0,12.0,3,0.7
30,12.0,12.0,12.0,3,0.7
