time,xin,TL,BL,reset,ic,T,action
0.0,-0.15340376877342066,9.769676560733231,-4.030927120159391,0,4.418233900082118,0.1,A20
4.5,-0.3640210624985134,9.769676560733231,-4.030927120159391,0,4.418233900082118,0.1,A20
9.0,-0.005326487012787373,9.769676560733231,-4.030927120159391,0,4.418233900082118,0.1,A20
9.01,0.006378186469207181,2.160697895694284,1.1275593914747937,1,-3.1687084558848007,0.1,A7
12.5,0.14318840776827013,2.160697895694284,1.1275593914747937,1,-3.1687084558848007,0.1,A7
16.0,-0.6956421343616304,2.160697895694284,1.1275593914747937,1,-3.1687084558848007,0.1,A7
16.01,0.30377473333331984,6.213396637354414,-4.983982537134237,1,-7.090765528052875,0.1,A6
17.0,0.20143966297460336,6.213396637354414,-4.983982537134237,1,-7.090765528052875,0.1,A6
18.0,0.15987253949864488,6.213396637354414,-4.983982537134237,1,-7.090765528052875,0.1,A6
18.01,-0.1506827575366272,7.653588505244432,-8.366625108479095,0,-2.4381430291756248,0.1,A19
19.0,0.46210426976528085,7.653588505244432,-8.366625108479095,0,-2.4381430291756248,0.1,A19
20.0,-0.7021370841412242,7.653588505244432,-8.366625108479095,0,-2.4381430291756248,0.1,A19
