time,x,y,action
0.0,1.1405322234216566,1.5705900829825574,A1
16.0,1.603241596641689,1.5838905922827684,A1
32.0,2.0,1.9697237248987127,A1
32.01,-1.311990907499994,-1.8886311002095866,A3
47.0,0.1435643904786268,0.13260086179163588,A3
62.0,1.9788856093428047,1.9275777196894017,A3
62.01,1.4847935938293717,1.289821115593547,A7
74.5,2.0,2.0,A7
87.0,1.9198707279352862,1.6089332560320928,A7
87.01,2.0,1.6897041400895834,A4
88.0,2.0,1.1952624048088225,A4
89.0,1.1963678317366722,1.0650189163461443,A4
89.01,-2.0,-2.0,A2
91.0,-1.2430404699269646,-2.0,A2
93.0,-1.2235452784602403,-1.4522959603184848,A2
93.01,0.7161924761274232,1.9048224260419997,A6
96.5,-0.4861831600826383,1.3880248181269734,A6
100.0,-1.2008430950537696,-0.682957161213932,A6
