time,x,y,action
0.0,-1.5241611937361839,-1.6797533306550605,A8
40.5,-1.0770472289217743,-1.164241370258088,A8
81.0,-1.1988919620390974,-2.0,A8
81.01,-1.6785345096515631,-1.9064536885272512,A10
83.0,-1.9341308982251095,-2.0,A10
85.0,-1.8284393246939143,-1.966130434240591,A10
85.01,-1.2337434409511299,-2.0,A5
88.0,-1.7084462214205764,-2.0,A5
91.0,-2.0,-2.0,A5
91.01,1.7724012416863602,1.6539759847601148,A6
91.5,0.11069813475374035,-0.16263529189113513,A6
92.0,-2.0,-1.475729077022544,A6
92.01,-1.2947838907660412,-1.3715995588147536,A10
94.0,-2.0,-1.8076753013081497,A10
96.0,-1.3122599567234552,-1.430546268542678,A10
96.01,1.1039633722458069,1.11083396719313,A7
96.5,1.6465466879183084,1.641073578050666,A7
97.0,1.4820100380131689,1.352678880089912,A7
97.01,-1.9752094406144152,-1.5647009484365029,A3
97.5,-0.537895184584599,0.49278397319976364,A3
98.0,1.4498132890171882,2.0,A3
98.01,1.8422778477951294,2.0,A4
98.5,1.1685144150963007,1.7128306136295173,A4
99.0,1.1577940328856111,1.6889795156374472,A4
99.01,1.0608955252631622,1.777631795813234,A13
99.5,1.63399794938988,2.0,A13
100.0,1.5484161882157936,2.0,A13
