time,x,y,action
0.0,1.2737454324519528,1.9089508758742784,A6
29.5,0.04929454736129557,-0.18715611333120896,A6
59.0,-1.4553489239006203,-1.915052197403266,A6
59.01,2.0,1.4478537003344396,A1
70.0,2.0,2.0,A1
81.0,2.0,2.0,A1
81.01,2.0,1.5500488374692734,A11
84.5,1.541791715970995,1.3904631529613147,A11
88.0,1.4079706398786915,1.5448286311224328,A11
88.01,2.0,1.079714320231202,A16
89.0,1.2073220245599514,1.123631939689204,A16
90.0,-1.312899623487826,1.2306493917599914,A16
90.01,1.0016167404164706,1.0901246715808872,A1
93.0,1.1705332696398767,1.1273322843447355,A1
96.0,2.0,1.4658934104375696,A1
96.01,-1.729700834606951,-1.6090696154695365,A3
96.5,0.5726763265388866,0.03437394811736705,A3
97.0,2.0,1.6328224387398032,A3
97.01,1.219202556558077,1.4015777508986718,A7
97.5,1.632973595837333,2.0,A7
98.0,1.4355368229951795,1.7885591729248556,A7
98.01,-1.4349655499713547,-1.5818691612656535,A12
98.5,-2.0,-2.0,A12
99.0,-2.0,-2.0,A12
99.01,-1.6052827144133714,-1.4094652555595162,A14
99.5,-1.166695843845499,-1.2656923749415405,A14
100.0,-1.1490238775816315,-1.2844589630163976,A14
