time,ia,ib,ic,PClimit,Tlevel
0,20.0,20.0,20.0,5,0.8
1,20.0,20.0,20.0,5,0.8
2,20.0,20.0,20.0,5,0.8
3,20.0,20.0,20.0,5,0.8
4,20.0,20.0,20.0,5,0.8
5,20.0,20.0,20.0,5,0.8
6,20.0,20.0,20.0,5,0.8
7,20.0,20.0,20.0,5,0.8
8,20.0,20.0,20.0,5,0.8
9,20.0,20.0,20.0,5,0.8
10,20.0,20.0,20.0,5,0.8
11,20.0,20.0,20.0,5,0.8
12,20.0,20.0,20.0,5,0.8
13,20.0,20.0,20.0,5,0.8
14,20.0,20.0,20.0,5,0.8
15,20.0,20.0,20.0,5,0.8
16,20.0,20.0,20.0,5,0.8
17,20.0,20.0,20.0,5,0.8
18,20.0,20.0,20.0,5,0.8
19,20.0,20.0,20.0,5,0.8
20,20.0,20.0,20.0,5,0.8
21,20.0,20.0,20.0,5,0.8
22,20.0,20.0,20.0,5,0.8
23,20.0,20.0,20.0,5,0.8
24,20.0,20.0,20.0,5,0.8
25,20.0,20.0,20.0,5,0.8
26,20.0,20.0,20.0,5,0.8
27,20.0,20.0,20.0,5,0.8
28,20.0,20.0,20.0,5,0.8
29,20.0,20.0,20.0,5,0.8
30,20.0,20.0,20.0,5,0.8
