time,ia,ib,ic,PClimit,Tlevel
0,10.0,10.0,10.0,5,0.3
1,10.0,10.0,10.0,5,0.3
2,10.0,10.0,10.0,5,0.3
3,10.0,10.0,10.0,5,0.3
4,10.0,10.0,10.0,5,0.3
5,10.0,10.0,10.0,5,0.3
6,10.0,10.0,10.0,5,0.3
7,10.0,10.0,10.0,5,0.3
8,10.0,10.0,10.0,5,0.3
9,10.0,10.0,10.0,5,0.3
10,12.0,10.0,10.0,5,0.3
11,12.0,10.0,10.0,5,0.3
12,12.0,10.0,10.0,5,0.3
13,12.0,10.0,10.0,5,0.3
14,12.0,10.0,10.0,5,0.3
15,12.0,10.0,10.0,5,0.3
16,12.0,10.0,10.0,5,0.3
17,12.0,10.0,10.0,5,0.3
18,12.0,10.0,10.0,5,0.3
19,12.0,10.0,10.0,5,0.3
20,12.0,10.0,10.0,5,0.3
21,12.0,10.0,10.0,5,0.3
22,12.0,10.0,10.0,5,0.3
23,12.0,10.0,10.0,5,0.3
24,12.0,10.0,10.0,5,0.3
25,12.0,10.0,10.0,5,0.3
26,12.0,10.0,10.0,5,0.3
27,12.0,10.0,10.0,5,0.3
28,12.0,10.0,10.0,5,0.3
29,12.0,10.0,10.0,5,0.3
30,12.0,10.0,10.0,5,0.3
