time,ia,ib,ic,PClimit,Tlevel
0,8.0,12.0,15.0,4,1.0
1,8.0,12.0,15.0,4,1.0
2,8.0,12.0,15.0,4,1.0
3,8.0,12.0,15.0,4,1.0
4,8.0,12.0,15.0,4,1.0
5,8.0,12.0,15.0,4,1.0
6,8.0,12.0,15.0,4,1.0
7,8.0,12.0,15.0,4,1.0
8,8.0,12.0,15.0,4,1.0
9,8.0,12.0,15.0,4,1.0
10,8.0,12.0,15.0,4,1.0
11,8.0,12.0,15.0,4,1.0
12,8.0,12.0,15.0,4,1.0
13,8.0,12.0,15.0,4,1.0
14,8.0,12.0,15.0,4,1.0
15,8.0,12.0,15.0,4,1.0
16,8.0,12.0,15.0,4,1.0
17,8.0,12.0,15.0,4,1.0
18,8.0,12.0,15.0,4,1.0
19,8.0,12.0,15.0,4,1.0
20,8.0,12.0,15.0,4,1.0
21,8.0,12.0,15.0,4,1.0
22,8.0,12.0,15.0,4,1.0
23,8.0,12.0,15.0,4,1.0
24,8.0,12.0,15.0,4,1.0
25,8.0,12.0,15.0,4,1.0
26,8.0,12.0,15.0,4,1.0
27,8.0,12.0,15.0,4,1.0
28,8.0,12.0,15.0,4,1.0
29,8.0,12.0,15.0,4,1.0
30,8.0,12.0,15.0,4,1.0
