time,xin,TL,BL,reset,ic,T,action
0.0,-0.39553739605371163,3.5385597065438983,6.2984199231819495,1,8.85460982460048,0.1,A15
3.0,0.2342487309855268,3.5385597065438983,6.2984199231819495,1,8.85460982460048,0.1,A15
6.0,-0.29618529640699465,3.5385597065438983,6.2984199231819495,1,8.85460982460048,0.1,A15
6.01,0.7126802975555151,8.885558822351161,-5.294342514234933,0,-9.749528309432483,0.1,A18
9.0,-0.3451954055956201,8.885558822351161,-5.294342514234933,0,-9.749528309432483,0.1,A18
12.0,-0.9692132156387501,8.885558822351161,-5.294342514234933,0,-9.749528309432483,0.1,A18
12.01,-0.6550988807637408,6.743913193895036,3.85225071305497,1,-8.45678342609193,0.1,A7
15.0,1.0,6.743913193895036,3.85225071305497,1,-8.45678342609193,0.1,A7
18.0,0.2832558005512966,6.743913193895036,3.85225071305497,1,-8.45678342609193,0.1,A7
18.01,0.3649809052857069,-7.7247304249825515,-3.1261790775242515,0,4.5914802123779355,0.1,A20
19.0,-0.9285934688873183,-7.7247304249825515,-3.1261790775242515,0,4.5914802123779355,0.1,A20
20.0,0.2816135702739275,-7.7247304249825515,-3.1261790775242515,0,4.5914802123779355,0.1,A20
