time,ia,ib,ic,Tlevel,PClimit,action
0,16.321806709410723,15.416048875111592,15.582840798042765,1.0,3,A1
1,17.991567108220384,17.90988303554855,17.53992245227672,1.0,5,A1
2,11.428111866316797,11.010924483667344,11.54180612560734,0.6345049168568558,5,A1
3,3.4006927723604763,4.372073844898572,3.9980541520526636,0.9744073900956045,5,A1
4,16.425231731111015,17.232413283553456,17.13150647287987,1.0,2,A1
5,7.678942311255774,7.9501896059593005,7.488913634033327,0.8290549497362878,4,A1
6,13.44747306674841,13.500808430134976,13.071183393656044,0.96459788387712,4,A1
7,11.52688335150995,11.737786709502071,10.93975810534958,0.9879243731439032,2,A1
8,2.8174138947504512,2.862407757315435,2.842330891510769,1.0,5,A1
9,6.147532887518329,6.101970040627411,5.868672098786991,0.4546080477289517,5,A1
10,5.847598627850994,5.375241714170517,5.291063193663795,1.0,2,A1
11,11.088765440708443,11.073389281833302,0.6541513089953874,1.0,4,A7
12,12.271928132197818,12.296707378219494,19.238735166153774,1.0,5,A7
13,12.211823025889439,12.315522579391926,17.09171069534078,0.8027973052626235,4,A7
14,3.9607327541592707,4.046005810781075,7.531658739946401,1.0,2,A7
15,10.714106441118293,10.620558847256818,3.283276125197856,1.0,2,A7
16,18.024571072231495,17.983849266471676,4.232903464990745,0.8389982143343044,1,A7
17,9.957145846350263,9.81318992741799,2.452332297712192,0.8803144282252392,4,A7
18,18.740208577258496,18.85892086930841,14.336132857250405,1.0,5,A7
19,2.877408385289175,2.814963758935145,9.49569210189147,1.0,5,A7
20,19.710422516828057,19.671032113663244,17.064849880186667,1.0,1,A7
21,4.186196662473478,4.201412616513272,17.908871311466704,0.9994412463088679,2,A7
22,15.135514150435334,12.98378093641283,12.997474718975159,0.013202411312395412,4,A15
23,11.486676432580019,5.632534161366085,11.535706968068382,0.9194713220440701,3,A14
24,8.033070086018695,15.898945345498422,15.852772100766666,1.0,1,A11
25,4.857208278792735,5.397283216081639,5.531239731321699,0.5543781785986142,4,A3
26,7.173174814912451,6.973608303794352,18.27617150907338,1.0,5,A8
27,0.5606388033853893,0.6416294089582864,16.37002810026248,1.0,2,A8
28,1.471160539466473,1.6373731763423405,5.707776203610562,0.986613027004462,5,A8
29,1.2716283041675203,0.026059981240804664,16.139759354198148,0.9713274285973235,5,A15
30,9.688523202450813,5.624166502049968,2.1406534299201785,0.9349073231055279,5,A15
