time,x,y,action
0.0,-4.520842456610738,2.1334341691468044,A4
22.0,-0.16572266999762775,-4.653954737248889,A4
44.0,5.130433377487096,-0.1840194859038533,A4
44.1,2.397294360367024,-2.1845888188662697,A5
48.5,-1.3837788964717816,1.2669014170512458,A5
53.0,-5.997493012650679,4.948369487761656,A5
53.1,1.63458232190726,1.3286625581459925,A13
53.5,-0.4590478798065494,2.6056243687912612,A13
54.0,1.3719791720517502,4.222011529019653,A13
54.1,-0.17504293797757597,5.991864291980972,A14
77.0,-5.953299851360169,0.19168253354203024,A14
100.0,1.7357898993566039,-6.0,A14
