time,ia,ib,ic,Tlevel,PClimit,action
0,6.367796572482607,7.086965752140855,6.2155611287101,1.0,3,A1
1,16.036465173983498,15.913767153610031,16.097914073812795,0.8064209813317645,4,A1
2,13.047701755133305,13.364100953609036,13.335449415016647,0.7915010356927643,2,A1
3,5.401637331863599,5.3406836731078755,6.334498945715525,1.0,3,A1
4,4.970314217191529,5.05385814183485,5.246880873927502,1.0,4,A1
5,13.665797728266092,13.935328876459918,13.987513381586961,0.9022331228218194,4,A1
6,4.668950675416474,4.67079795132414,4.6493246928631855,0.5898490380869501,4,A1
7,11.426939520696838,11.461876138709108,11.947900744592157,1.0,3,A1
8,9.755661898142186,9.277511502311933,9.304422226380947,0.8619544615373684,1,A1
9,13.235263096352998,13.892777850753607,13.332532583016176,0.8388106157343943,3,A1
10,6.1901332619481275,6.031389466909443,6.478724169189249,1.0,5,A1
11,5.867058119261472,5.925071619966731,5.284059200596889,1.0,3,A1
12,17.204367417848488,17.633279424123767,17.560657020848808,1.0,2,A1
13,7.050163489263621,7.002454500122884,0.3630195782722345,1.0,5,A8
14,10.128849663511923,9.958358965226896,12.720245337162204,1.0,2,A8
15,3.304779187237874,3.4382668764232593,17.294472803776678,0.7627423994329953,5,A8
16,9.709332269655732,9.59088318424427,19.104232418524624,0.9050124279943386,3,A8
17,6.87512130548596,7.086821012722815,15.194417162309646,1.0,2,A8
18,3.428485720717734,3.4028785837239672,16.395806301720476,0.9907274840273932,5,A8
19,14.856205531583033,14.88336665529479,3.917969476044523,1.0,5,A8
20,9.94611210918967,10.102866999001986,14.941749377237198,1.0,3,A8
21,11.821327184487458,11.872548333365746,8.4600503854757,0.9469251192221576,2,A8
22,17.646842554507508,17.89742371983029,7.908854046420661,0.9537269507054872,3,A7
23,9.777158104216783,9.756662098450816,19.206821169671574,1.0,4,A7
24,0.7796134998520121,16.842914837475426,16.80021046040747,1.0,1,A11
25,5.016067873963957,10.032626044820523,9.947893099622005,1.0,4,A11
26,4.457717040123621,9.646721598089167,9.643293164656136,1.0,1,A11
27,18.426885442849287,6.833303535195047,6.778909260025263,1.0,4,A11
28,8.900779000950653,17.61242256802619,17.692137786904066,1.0,3,A12
29,19.0766165693787,0.783041877741526,1.4524442622814915,0.44922387964707045,2,A15
30,9.281765656074354,6.628092806381232,17.377506993747545,0.24662206970390788,5,A16
