time,x,y,action
0.0,1.4767426617390618,-1.4386028446208856,A15
4.5,1.5868118145262355,0.2675439068763499,A15
9.0,2.0,-2.0,A15
9.01,1.7824348836881883,1.4121855515912336,A16
10.0,1.0170421964379255,1.64828619789785,A16
11.0,-1.035669428644205,2.0,A16
11.01,0.6434925458136602,1.9815344568154458,A6
50.5,0.6364203956889378,-1.5642096397347163,A6
90.0,-0.8012782274448691,-2.0,A6
90.01,1.1562073535539605,2.0,A1
90.5,1.9851900600490922,2.0,A1
91.0,2.0,2.0,A1
91.01,2.0,2.0,A11
92.5,1.4227487602932638,1.5557273490235706,A11
94.0,1.1318269622720405,1.6633904417374201,A11
94.01,1.3669486789928107,1.2407474206690061,A16
94.5,0.35951871126177615,1.4529163240693475,A16
95.0,-1.7116820060893718,2.0,A16
95.01,-2.0,-1.8579783933259484,A8
95.5,-1.196958461979035,-1.191050452696362,A8
96.0,-2.0,-1.5547171151770756,A8
96.01,-1.2457137289525422,-1.4509464772492648,A10
96.5,-2.0,-2.0,A10
97.0,-1.3742808943696876,-1.130160900434048,A10
97.01,1.1358000871181497,1.0446490189921593,A1
97.5,1.886050381308827,1.2024991148717241,A1
98.0,2.0,1.6770904123421224,A1
98.01,-1.8368531359716505,-1.0090080737012381,A3
98.5,0.31038645049619307,0.9090538771396139,A3
99.0,1.290085505513321,1.5419562538297749,A3
99.01,2.0,1.082434628159457,A7
99.5,2.0,1.4998421024121242,A7
100.0,2.0,1.3671248923284551,A7
