time,x,y,action
0.0,-3.1736344079245464,-3.9778785940367123,A1
2.5,-0.8300463341434128,-0.8463878735698227,A1
5.0,4.3620589131983785,2.967457696328747,A1
5.1,-5.814053395515752,5.816496312649315,A2
25.0,-2.3096165598327065,2.4985296709514855,A2
45.0,2.9976635474987425,-1.1329381751257852,A2
45.1,-4.680475507738709,-4.5519829259615365,A3
48.0,1.0545257553083225,5.680735115574091,A3
51.0,5.554759043314226,-2.7665611647603257,A3
51.1,-4.348913860514945,-6.0,A9
55.5,4.331032469288563,-2.228735216933354,A9
60.0,-5.060136272195432,1.662909277352865,A9
60.1,-1.7941552710497293,4.925503113110228,A10
77.0,4.117579187128047,-0.9077416134710576,A10
94.0,-5.17478946055739,-5.652440412577213,A10
94.1,-6.0,-3.1791584058288915,A11
95.5,3.088345373871542,5.759965557789059,A11
97.0,-6.0,-5.422502551317339,A11
97.1,-2.0786246352838744,4.824010859290393,A2
97.5,1.7532035726163075,0.33929350851993156,A2
98.0,5.0012030262128135,-4.403024551918838,A2
98.1,2.6007611084712217,-2.0287690987022993,A7
98.5,-0.788931813735386,1.317578293412967,A7
99.0,-4.694251650538478,-3.0507209245525306,A7
99.1,-5.377087683432428,3.426068474379143,A12
99.5,6.0,-5.2268719900728104,A12
100.0,-1.011680589324039,3.949982656457081,A12
