time,ia,ib,ic,PClimit,Tlevel
0,12,12,12,2,0.9
1,12,12,12,2,0.9
2,12,12,12,2,0.9
3,12,12,12,2,0.9
4,12,12,12,2,0.9
5,12,12,12,2,0.9
6,12,12,12,2,0.9
7,12,12,12,2,0.9
8,12,12,12,2,0.9
9,12,12,12,2,0.9
10,12,12,12,2,0.9
11,12,12,12,2,0.9
12,12,12,12,2,0.9
13,12,12,12,2,0.9
14,12,12,12,2,0.9
15,12,12,12,2,0.9
16,12,12,12,2,0.9
17,12,12,12,2,0.9
18,12,12,12,2,0.9
19,12,12,12,2,0.9
20,12,12,12,2,0.9
21,12,12,12,2,0.9
22,12,12,12,2,0.9
23,12,12,12,2,0.9
24,12,12,12,2,0.9
25,12,12,12,2,0.9
26,12,12,12,2,0.9
27,12,12,12,2,0.9
28,12,12,12,2,0.9
29,12,12,12,2,0.9
30,12,12,12,2,0.9
