time,xin,TL,BL,reset,ic,T,action
0.0,-0.40511615358351394,-7.741898117764315,-3.7441595695671666,0,0.35550686060613224,0.1,A17
6.5,-0.27179973593461626,-7.741898117764315,-3.7441595695671666,0,0.35550686060613224,0.1,A17
13.0,-0.0370112932288813,-7.741898117764315,-3.7441595695671666,0,0.35550686060613224,0.1,A17
13.01,-0.26964927314567944,9.340095124307723,-1.438631641993183,1,6.978707608686282,0.1,A4
14.5,-0.8079933301023307,9.340095124307723,-1.438631641993183,1,6.978707608686282,0.1,A4
16.0,0.35837277548605795,9.340095124307723,-1.438631641993183,1,6.978707608686282,0.1,A4
16.01,0.8509191855528011,3.4862883676779823,-2.3314357289412424,1,-4.810178485532665,0.1,A8
16.5,-0.7061245183517615,3.4862883676779823,-2.3314357289412424,1,-4.810178485532665,0.1,A8
17.0,-0.06304095881889404,3.4862883676779823,-2.3314357289412424,1,-4.810178485532665,0.1,A8
17.01,0.004135882602221974,2.37626387449364,-9.875671550405265,0,7.084110770852735,0.1,A17
17.5,0.5044012093556767,2.37626387449364,-9.875671550405265,0,7.084110770852735,0.1,A17
18.0,0.661847944622824,2.37626387449364,-9.875671550405265,0,7.084110770852735,0.1,A17
18.01,-1.0,0.7686977771993302,-8.648928459753009,0,1.4676997892413883,0.1,A19
19.0,0.44125209161360446,0.7686977771993302,-8.648928459753009,0,1.4676997892413883,0.1,A19
20.0,-0.5553355363765899,0.7686977771993302,-8.648928459753009,0,1.4676997892413883,0.1,A19
