time,ia,ib,ic,PClimit,Tlevel
0,14.0,7.0,7.0,5,0.2
1,14.0,7.0,7.0,5,0.2
2,14.0,7.0,7.0,5,0.2
3,14.0,7.0,7.0,5,0.2
4,14.0,7.0,7.0,5,0.2
5,14.0,7.0,7.0,5,0.2
6,14.0,7.0,7.0,5,0.2
7,14.0,7.0,7.0,5,0.2
8,14.0,7.0,7.0,5,0.2
9,14.0,7.0,7.0,5,0.2
10,14.0,7.0,7.0,5,0.2
11,14.0,7.0,7.0,5,0.2
12,14.0,7.0,7.0,5,0.2
13,14.0,7.0,7.0,5,0.2
14,14.0,7.0,7.0,5,0.2
15,14.0,7.0,7.0,5,0.2
16,14.0,7.0,7.0,5,0.2
17,14.0,7.0,7.0,5,0.2
18,14.0,7.0,7.0,5,0.2
19,14.0,7.0,7.0,5,0.2
20,14.0,7.0,7.0,5,0.2
21,14.0,7.0,7.0,5,0.2
22,14.0,7.0,7.0,5,0.2
23,14.0,7.0,7.0,5,0.2
24,14.0,7.0,7.0,5,0.2
25,14.0,7.0,7.0,5,0.2
26,14.0,7.0,7.0,5,0.2
27,14.0,7.0,7.0,5,0.2
28,14.0,7.0,7.0,5,0.2
29,14.0,7.0,7.0,5,0.2
30,14.0,7.0,7.0,5,0.2
