time,ia,ib,ic,PClimit,Tlevel
0,8.0,13.0,13.0,3,0.5
1,8.0,13.0,13.0,3,0.5
2,8.0,13.0,13.0,3,0.5
3,8.0,13.0,13.0,3,0.5
4,8.0,13.0,13.0,3,0.5
5,8.0,13.0,13.0,3,0.5
6,8.0,13.0,13.0,3,0.5
7,8.0,13.0,13.0,3,0.5
8,8.0,13.0,13.0,3,0.5
9,8.0,13.0,13.0,3,0.5
10,8.0,13.0,13.0,3,0.5
11,8.0,13.0,13.0,3,0.5
12,8.0,13.0,13.0,3,0.5
13,8.0,13.0,13.0,3,0.5
14,8.0,13.0,13.0,3,0.5
15,8.0,13.0,13.0,3,0.5
16,8.0,13.0,13.0,3,0.5
17,8.0,13.0,13.0,3,0.5
18,8.0,13.0,13.0,3,0.5
19,8.0,13.0,13.0,3,0.5
20,8.0,13.0,13.0,3,0.5
21,8.0,13.0,13.0,3,0.5
22,8.0,13.0,13.0,3,0.5
23,8.0,13.0,13.0,3,0.5
24,8.0,13.0,13.0,3,0.5
25,8.0,13.0,13.0,3,0.5
26,8.0,13.0,13.0,3,0.5
27,8.0,13.0,13.0,3,0.5
28,8.0,13.0,13.0,3,0.5
29,8.0,13.0,13.0,3,0.5
30,8.0,13.0,13.0,3,0.5
