time,ia,ib,ic,PClimit,Tlevel
0,18.0,9.0,9.0,4,0.4
1,18.0,9.0,9.0,4,0.4
2,18.0,9.0,9.0,4,0.4
3,18.0,9.0,9.0,4,0.4
4,18.0,9.0,9.0,4,0.4
5,18.0,9.0,9.0,4,0.4
6,18.0,9.0,9.0,4,0.4
7,18.0,9.0,9.0,4,0.4
8,18.0,9.0,9.0,4,0.4
9,18.0,9.0,9.0,4,0.4
10,18.0,9.0,9.0,4,0.4
11,18.0,9.0,9.0,4,0.4
12,18.0,14.0,9.0,4,0.4
13,18.0,14.0,9.0,4,0.4
14,18.0,14.0,9.0,4,0.4
15,18.0,14.0,9.0,4,0.4
16,18.0,14.0,9.0,4,0.4
17,18.0,14.0,9.0,4,0.4
18,18.0,14.0,9.0,4,0.4
19,18.0,14.0,9.0,4,0.4
20,18.0,14.0,9.0,4,0.4
21,18.0,14.0,9.0,4,0.4
22,18.0,14.0,9.0,4,0.4
23,18.0,14.0,9.0,4,0.4
24,18.0,14.0,9.0,4,0.4
25,18.0,14.0,9.0,4,0.4
26,18.0,14.0,9.0,4,0.4
27,18.0,14.0,9.0,4,0.4
28,18.0,14.0,9.0,4,0.4
29,18.0,14.0,9.0,4,0.4
30,18.0,14.0,9.0,4,0.4
