time,ia,ib,ic,PClimit,Tlevel
0,15,15,15,2,0.3
1,15,15,15,2,0.3
2,15,15,15,2,0.3
3,15,15,15,2,0.3
4,15,15,15,2,0.3
5,15.4,15,15,2,0.3
6,15.4,15,15,2,0.3
7,15.4,15,15,2,0.3
8,15.4,15,15,2,0.3
9,15.4,15,15,2,0.3
10,15,15,15,2,0.3
11,15,15,15,2,0.3
12,15,15,15,2,0.3
13,15,15,15,2,0.3
14,15,15,15,2,0.3
15,15,15.4,15,2,0.3
16,15,15.4,15,2,0.3
17,15,15.4,15,2,0.3
18,15,15.4,15,2,0.3
19,15,15.4,15,2,0.3
20,15,15,15,2,0.3
21,15,15,15,2,0.3
22,15,15,15,2,0.3
23,15,15,15,2,0.3
24,15,15,15,2,0.3
25,15,15,15.4,15,2,0.3
26,15,15,15.4,15,2,0.3
27,15,15,15.4,15,2,0.3
28,15,15,15.4,15,2,0.3
29,15,15,15.4,15,2,0.3
