time,ia,ib,ic,PClimit,Tlevel
0,15,15,15,5,1.0
1,15,15,15,5,1.0
2,15,15,15,5,1.0
3,15,15,15,5,1.0
4,15,15,15,5,1.0
5,15,15,15,5,1.0
6,15,15,15,5,1.0
7,15,15,15,5,1.0
8,15,15,15,5,1.0
9,15,15,15,5,1.0
10,15,15,15,5,1.0
11,15,15,15,5,1.0
12,15,15,15,5,1.0
13,15,15,15,5,1.0
14,15,15,15,5,1.0
15,15,15,15,5,1.0
16,15,15,15,5,1.0
17,15,15,15,5,1.0
18,15,15,15,5,1.0
19,15,15,15,5,1.0
20,15,15,15,5,1.0
21,15,15,15,5,1.0
22,15,15,15,5,1.0
23,15,15,15,5,1.0
24,15,15,15,5,1.0
25,15,15,15,5,1.0
26,15,15,15,5,1.0
27,15,15,15,5,1.0
28,15,15,15,5,1.0
29,15,15,15,5,1.0
