time,ia,ib,ic,Tlevel,PClimit,action
0,15.64400348742596,19.5906137546887,15.609633543586556,1.0,3,A14
1,18.40525610269993,7.559288060696735,18.759370500047133,1.0,4,A14
2,15.829171517470693,6.679719529155488,15.735410655011579,1.0,4,A14
3,3.691770695340817,0.0,3.748963204991609,0.9206771895261303,3,A14
4,5.19792991317615,7.302015584954777,5.084752410055711,1.0,4,A14
5,11.607647493765805,16.656670899820366,11.608852153815697,1.0,3,A14
6,4.09232374014909,9.353317332907373,3.9498534605269846,1.0,2,A14
7,8.097316157603677,4.611154892793307,8.101418251940835,1.0,3,A14
8,8.230647901451471,10.986332774709464,8.138245649097529,1.0,3,A14
9,1.8166413024633887,16.771386244523065,2.5498378360668172,0.7394457006697549,4,A14
10,3.689058356574124,10.97588692977456,4.312739063251758,0.7110583565557824,4,A14
11,1.9115932369408162,6.255408216451295,1.8267317295880825,1.0,5,A14
12,12.900606235252368,5.663998905097722,12.933994577853786,1.0,3,A14
13,9.185549422963316,5.952026532828116,8.3955279169334,0.9063204996928044,3,A14
14,3.317957454162155,14.483082277368858,3.5551848280276976,1.0,3,A14
15,19.34150967903004,14.174222955574685,19.325526599305633,0.9767401937684546,2,A14
16,0.6371482437460751,8.509038977366277,0.9919451907470291,1.0,5,A14
17,17.506647924431338,17.426639510671972,19.42473152756029,1.0,1,A7
18,12.351163271892354,12.358751914609538,9.829942010113424,1.0,2,A7
19,3.43058258835786,3.2444732187261893,15.587016291014248,0.29876148407192327,3,A7
20,13.11995960846682,13.123648705423584,3.076441046143097,1.0,2,A7
21,14.082587757527518,14.328578869856546,3.1667974474097416,1.0,2,A7
22,16.439514887183535,16.773326035992376,16.715802940379806,0.5844116537151144,5,A2
23,4.049890051774101,4.114650844251663,4.015926300842547,0.2192927430616501,5,A2
24,1.923696319378622,1.7518269633891004,1.6656530554897857,0.7934825394826566,3,A2
25,12.319637110577519,12.443801510573898,12.711966529771036,1.0,3,A1
26,17.817738797046495,17.69480991890659,17.358200108602052,1.0,2,A1
27,7.855749174370718,5.573792512523381,5.568820820444591,1.0,3,A11
28,3.3677075240776553,3.263702700354434,12.13011958702085,1.0,1,A8
29,18.89225261880341,1.6493769169052537,9.772536104735854,0.0,1,A15
30,12.95316755376685,14.078428312160598,13.413990807969036,0.8890915177052265,3,A10
